Topic,Words,Frequency,Class
18,"stars, star, star school, school stars, star rating",113,low_fb
19,"daughter, son, year, ruskin, grade",46,low_fb
20,"reviews, review, negative, negative reviews, bad reviews",89,low_fb
21,"experience, great experience, good experience, far, wonderful experience",96,low_fb
22,"small, sizes, class sizes, small class, small school",107,low_fb
23,"covid, pandemic, virtual, online, covid 19",71,low_fb
24,"iep, special, child iep, ieps, special education",69,low_fb
25,"ib, ib program, program, international, baccalaureate",146,low_fb
26,"dress, dress code, code, wear, uniform",203,low_fb
27,"principal, principal staff, mr, great principal, mr caruthers",34,low_fb
28,"scores, test, test scores, state, score",96,low_fb
29,"cca, ccs, cchs, ccc, love cca",89,low_fb
30,"gifted, gifted program, gifted kids, gifted students, program",21,low_fb
31,"harborside, bay, bay view, beach, view",76,low_fb
32,"sports, coaches, coach, football, players",333,low_fb
33,"escuela, en, la, que, los",33,low_fb
34,"oak, oakwood, oak park, oaks, oak grove",29,low_fb
35,"creek, boulder creek, creekside, boulder, fox creek",76,low_fb
36,"12, klahowya, kp, khs, school 12",35,low_fb
37,"west, western, west port, port, westview",127,low_fb
38,"sports, football, great, high school, athletic",265,low_fb
39,"ap, ap classes, classes, courses, college",294,low_fb
40,"rating, 10, greatschools, ratings, rated",53,low_fb
41,"mary, st mary, st, saint mary, sma",19,low_fb
42,"military, military family, rotc, school military, military families",92,low_fb
43,"ipad, type discount, conformers office, friendly admission, ipad waste",3,low_fb
44,"pres, pre, beebe, pre program, prek",10,low_fb
45,"olu, olsh, ola, ola high, olph",22,low_fb
46,"administration, turnover, leadership, teachers, teacher turnover",53,low_fb
47,"adhd, add adhd, add, adhd teachers, hamilton",15,low_fb
48,"gwa, ghs, star, gchs, film",79,low_fb
49,"steinert, waldorf, jealous, steinert big, justice politcians",4,low_fb
50,"parking, bus, parking lot, traffic, drop",29,low_fb
51,"lake, lakeview, lakes, lakewood, lakeland",59,low_fb
52,"magnet, magnet school, magnet program, program, bps",49,low_fb
53,"st, sta, st mark, mark, st michael",19,low_fb
54,"bronx, brooklyn, nyc, york, new york",67,low_fb
55,"trinity, holy trinity, holy, ht, blessed trinity",63,low_fb
56,"lutheran, lutheran west, lutheran school, lutheran high, west",30,low_fb
57,"san, diego, san diego, sfhs, california",52,low_fb
58,"send, horrible, don send, terrible, send child",52,low_fb
59,"vista, lago, del lago, vista del, del",47,low_fb
60,"paul, st paul, st, saul, paul school",45,low_fb
61,"valley, valley view, view, valley high, valley school",57,low_fb
62,"kimball, hill, hills, hillside, golden gate",15,low_fb
63,"whs, whittier, wwhs, whhs, whs great",51,low_fb
64,"office, rude, office staff, desk, staff rude",22,low_fb
65,"french, mesa ridge, offer french, mesa, language",10,low_fb
66,"prep, college prep, college, preparatory, prep school",107,low_fb
67,"horrible, worst, horrible horrible, worst worst, terrible",66,low_fb
68,"mandarin, chinese, local students, having chinese, mandarin teacher",9,low_fb
69,"joseph, st joseph, st, st joe, joe",34,low_fb
70,"tma, tjhs, tecumseh, tj, cte",17,low_fb
71,"autism, autistic, questar, son autistic, questar program",12,low_fb
72,"la, la cueva, cueva, el, canadian",25,low_fb
73,"bathrooms, bathroom, food, roaches, restroom",64,low_fb
74,"scs, sca, schs, sps, sc",33,low_fb
75,"mrs, econ, vocational, education crammed, math worthy",5,low_fb
76,"texas, houston, austin, san antonio, antonio",49,low_fb
77,"john, st john, st, saint john, john high",18,low_fb
78,"parkview, park, parkview baptist, baptist, science park",23,low_fb
79,"lincoln, lincoln high, school lincoln, lincoln great, high",27,low_fb
80,"academy, academies, dphs, college, ce",41,low_fb
81,"woodson, woodland, forest, woodlands, woods",27,low_fb
82,"brandeis, solomon, brandeis unique, sessions library, thank solomon",4,low_fb
83,"holy, holy family, family, family high, holy spirit",42,low_fb
84,"stem, stem program, hughes stem, stem high, stem academy",21,low_fb
85,"arizona, tucson, phoenix, az, sonoraville",24,low_fb
86,"florida, jacksonville, tampa, fla, fl",46,low_fb
87,"jcchs, jchs, jhs, jcos, college",40,low_fb
88,"green, greene, green mountain, south greene, greeneview",14,low_fb
89,"visit visit, visit, atmospherse caring, sustainable thriving, cultures ideologies",21,low_fb
90,"grace, seffner, grace christian, totino grace, totino",3,low_fb
91,"wca, wc, wcs, wchs, christian",38,low_fb
92,"sjb, sja, sjs, sjj, sjv",18,low_fb
93,"north, northside, north point, north star, northridge",63,low_fb
94,"cma, cmi, cms, camden, cma great",36,low_fb
95,"connor, ocs, oologah, sandra day, ocsa",20,low_fb
96,"jefferson, qchs, jefferson high, thomas jefferson, thomas",19,low_fb
97,"bhs, bhhs, bt, bms, bchs",52,low_fb
98,"private, private school, herron, public school, public",13,low_fb
99,"clark, lewis, danville, high school, high",55,low_fb
100,"lca, lcs, lc, lchs, school lca",27,low_fb
101,"ridge, fossil, fossil ridge, palmer ridge, ridgeview",42,low_fb
102,"franklin, franklin towne, towne, fra, love franklin",21,low_fb
103,"arabia, arabia mountain, islamic, mountain, arabic",13,low_fb
104,"river, riverview, black river, river high, riverbend",26,low_fb
105,"drugs, drug, drug problem, problem, drug use",105,low_fb
106,"summit, summit academy, mountain crest, academy north, north high",10,low_fb
107,"mchs, mclaurin, mcs, mcds, students",30,low_fb
108,"highland, highlands, lake highland, lake, highland high",35,low_fb
109,"send, send child, child school, child, send children",30,low_fb
110,"echs, ecs, graduating state, connection sports, echs especially",5,low_fb
111,"south, southside, south high, school south, love south",76,low_fb
112,"fundraising, mitty, fusco, money, staffs",9,low_fb
113,"hillcrest, hillcrest really, pinecrest, hillcrest hillcrest, sc",6,low_fb
114,"bc high, bc, bca, bch, bcs",20,low_fb
115,"reading, members reading, atmosphere considerable, writing quite, considerable son",2,low_fb
117,"food, lunch, smart lunch, culinary, grasso",30,low_fb
118,"principle, new principle, count day, idea mainly, change principles",8,low_fb
119,"aca, achs, acs, children aca, christian morals",12,low_fb
120,"college, high school, classes, high, friends",66,low_fb
121,"pchs, pca, ndp, pc, pcs",35,low_fb
122,"hfa, hhs, hgp, hbhs, hva",38,low_fb
123,"matter willing, comfortable classes, thier future, friendly going, personable friendly",2,low_fb
124,"lnc, lms, ls3, serve, classes hunter",14,low_fb
125,"mountain, mountain view, view, glacier peak, glacier",15,low_fb
126,"hcs, hca, hampton park, hchs, hampton",15,low_fb
127,"gac, georgia, gacs, ga, atlanta",41,low_fb
128,"zion, wesleyan, vanguard, avalon, zion high",19,low_fb
129,"fairview, fairless, fairmont, ross, feel fairless",15,low_fb
