feature,importance,std
"topic_269 (odyssey, primavera, odyssey charter)",0.0,0.0
"topic_270 (monticello, montclair, monta loma)",0.0,0.0
"topic_271 (zion, zion lutheran, lutheran)",0.0,0.0
"topic_272 (stm, stma, stott)",0.0,0.0
"topic_268 (alverno, alcott, alc)",0.0,0.0
"topic_267 (lawrence, st lawrence, laurence)",0.0,0.0
"topic_264 (carden, carden school, carden academy)",0.0,0.0
"topic_263 (renaissance, renaissance school, renaissance charter)",0.0,0.0
"topic_262 (corlears, op, trafton)",0.0,0.0
"topic_258 (hillside, hilltop, hillside school)",0.0,0.0
"topic_257 (ssa, sses, sssq)",0.0,0.0
"topic_254 (laurel, laurel hill, laurelhurst)",0.0,0.0
"topic_250 (recess, recess time, lunch)",0.0,0.0
"topic_231 (fairview, fairmount, fairview elementary)",0.0,0.0
"topic_151 (calvary, calvary christian, christian school)",0.0,0.0
"topic_232 (kcc, kca, kcs)",0.0,0.0
"topic_112 (pca, pcs, pc)",0.0,0.0
"topic_97 (summit, everest, summit school)",0.0,0.0
"topic_102 (aca, acs, acca)",0.0,0.0
"topic_106 (ecs, eca, ecds)",0.0,0.0
"topic_107 (scs, sca, scds)",0.0,0.0
"topic_108 (bca, bcs, bcd)",0.0,0.0
"topic_110 (ocs, oca, oes)",0.0,0.0
"topic_113 (cms, cmp, cmit)",0.0,0.0
"topic_230 (crestview, crestwood, crest)",0.0,0.0
"topic_115 (hca, hcs, hccs)",0.0,0.0
"topic_125 (st peter, peter, peter school)",0.0,0.0
"topic_126 (tcs, tca, tce)",0.0,0.0
"topic_128 (cornerstone, cornerstone christian, school cornerstone)",0.0,0.0
"topic_130 (lms, lfcs, lmes)",0.0,0.0
"topic_131 (ncs, nca, nc)",0.0,0.0
"topic_96 (mcs, mchs, mcds)",0.0,0.0
"topic_91 (islamic, islamic school, arabic)",0.0,0.0
"topic_86 (lca, lcs, lccs)",0.0,0.0
"topic_85 (wca, wcs, wellington)",0.0,0.0
"topic_81 (hait, hait hait, becuase)",0.0,0.0
"topic_77 (lutheran, lutheran school, christ lutheran)",0.0,0.0
"topic_75 (sjs, sja, sjb)",0.0,0.0
"topic_71 (jewish, hebrew, secular)",0.0,0.0
"topic_68 (trinity, trinity christian, trinity school)",0.0,0.0
"topic_66 (whittier, wms, wns)",0.0,0.0
"topic_64 (joseph, st joseph, st joe)",0.0,0.0
"topic_54 (paul, st paul, st)",0.0,0.0
"topic_49 (olph, ola, olv)",0.0,0.0
"topic_47 (waldorf, waldorf school, waldorf education)",0.0,0.0
"topic_22 (cca, ccs, cccs)",0.0,0.0
"topic_13 (daughter, son, reading)",0.0,0.0
"topic_3 (montessori, montessori school, montessori method)",0.0,0.0
"topic_132 (jhs, jgs, jms)",0.0,0.0
"topic_137 (francis, st francis, st)",0.0,0.0
"topic_138 (sma, smca, smcs)",0.0,0.0
"topic_200 (ces, williamsburg, celc)",0.0,0.0
"topic_228 (mckinley, atlas, mckinley school)",0.0,0.0
"topic_229 (cha, chapin, chaparral)",0.0,0.0
"topic_226 (carver, speyer, voyager)",0.0,0.0
"topic_223 (discovery, seed, discovery academy)",0.0,0.0
"topic_222 (cls, cla, clariden)",0.0,0.0
"topic_220 (aacs, aae, aaec)",0.0,0.0
"topic_219 (westminster, pardes, westminster school)",0.0,0.0
"topic_218 (fsa, fsk, foa)",0.0,0.0
"topic_213 (pv, pves, pve)",0.0,0.0
"topic_212 (shepherd, good shepherd, shepherd school)",0.0,0.0
"topic_211 (cedar, cedarwood, cedar ridge)",0.0,0.0
"topic_207 (woodland, woodlands, woodland great)",0.0,0.0
"topic_205 (tk, tes, tps)",0.0,0.0
"topic_201 (anne, st anne, anne school)",0.0,0.0
"topic_192 (gca, gca years, zca)",0.0,0.0
"topic_143 (avondale, riverdale, hillsdale)",0.0,0.0
"topic_191 (pius, st pius, pius school)",0.0,0.0
"topic_184 (rcs, rcds, rcsa)",0.0,0.0
"topic_182 (evergreen, love evergreen, evergreen school)",0.0,0.0
"topic_178 (glenwood, glen, glenview)",0.0,0.0
"topic_174 (providence, providence academy, school providence)",0.0,0.0
"topic_173 (saints, saints academy, saints catholic)",0.0,0.0
"topic_171 (meadow, meadowbrook, meadowlark)",0.0,0.0
"topic_170 (kipp, kiker, school kipp)",0.0,0.0
"topic_164 (msa, mspcs, mse)",0.0,0.0
"topic_155 (mca, mcauliffe, mcas)",0.0,0.0
"topic_156 (patrick, st patrick, patrick school)",0.0,0.0
"topic_154 (ics, ic, ica)",0.0,0.0
"topic_147 (mvca, rmca, mvcs)",0.0,0.0
"topic_146 (37, love 37, staten island)",0.0,0.0
"topic_299 (st theresa, theresa, teresa)",0.0,0.0
