Topic,Words,Frequency,Class
309,"qchs, experience qchs, qchs wonderful, qnd, queen",6,low_fb
310,"hargrave, staff hagerty, admission outstanding, hargrave military, hargrave really",5,low_fb
311,"lakeside, lakeside high, experience lakeside, elsinore, goals pulling",7,low_fb
313,"westwood, general ignorant, westwood education, instution facilities, 12years kids",3,low_fb
314,"scholarships, mcnicholas, received scholarships, graduated, graduate",26,low_fb
315,"crooms, student standands, teachers crooms, make zombie, editor strongly",3,low_fb
316,"holy cross, cross, holy, cross high, calculation",10,low_fb
317,"sabino, sabis, school sabino, sabis great, sabino high",6,low_fb
318,"holy trinity, trinity, holy, ht, trinity school",23,low_fb
319,"mcc, mccrory, mccluer, year mcc, mcc wonderful",10,low_fb
320,"herriman, proud bengals, hallways decently, unlike bingham, bingham highly",2,low_fb
321,"manchester, yorkshire, accepted selective, ann arbor, students away",7,low_fb
322,"charles, st charles, saint charles, st, men",8,low_fb
323,"svhs, sva, sv, svhs great, sves",12,low_fb
324,"phs, school phs, phe, parowan, piedmont",16,low_fb
325,"clinton, clinton prairie, clinton massie, massie, clinton school",8,low_fb
326,"focusing improvements, job courses, groton dunstable, appearances doing, technology relative",1,low_fb
327,"perkins, concord, gordon central, gordon, years concord",6,low_fb
328,"anthony, st anthony, anthony high, saint anthony, st",10,low_fb
329,"csd, cscs, css, teen cert, cert",7,low_fb
330,"dchs, home tells, rider afternoon, grandson car, arguments getting",4,low_fb
331,"health excels, talented accepting, specialized health, hospital clinical, clinical rotation",8,low_fb
332,"garfield, garfield high, boards notes, drowned chaos, grades endured",5,low_fb
333,"brooks, brookside, brooks high, school brooks, brooks academy",9,low_fb
334,"austin, schools austin, flawed dont, rank healthy, existing clubs",6,low_fb
335,"star, school star, star school, stars, related",12,low_fb
336,"bethany high, bethany, place school, great place, teachers administration",1,low_fb
337,"cap, center academy, center, community academy, todays",2,low_fb
338,"accepted abby, kindergarden heard, excited posted, 2014 kindergarden, kelly fall",1,low_fb
339,"mills, hit bureaucratic, millford, appearence great, millford graet",4,low_fb
341,"prison, school prison, like prison, prison school, jail",21,low_fb
342,"baltimore, maryland, baltimore city, chc, south baltimore",9,low_fb
344,"gsa, soon 2018, ceremoniously deposited, website promotions, students paraded",1,low_fb
345,"chs, chs great, chs does, clawson, ch",29,low_fb
346,"great molded, ethic isn, sets successful, belief deserves, today gate",1,low_fb
347,"wonderful experience, great experience, fun lawyers, wing far, children wghs",9,low_fb
348,"marshall, thurgood marshall, thurgood, marshall great, marshall academy",7,low_fb
349,"witnessed described, falls incredible, strange statements, cf witnessed, statements cf",1,low_fb
350,"macs, mac, bmrchs, estudents, enroll great",7,low_fb
351,"security, pouch, insuring, safety, ads",6,low_fb
352,"worth, lasalle, tuition, faculty highest, highest degree",11,low_fb
353,"sla, slhs, sl, slhs san, experience sla",15,low_fb
354,"rancho, cucamonga high, rancho cucamonga, cucamonga, career issue",5,low_fb
355,"eisenhower, eisenhower high, ike, experience eisenhower, eisenhower school",11,low_fb
356,"woodlawn, basehor, wood, woodmore, year lot",9,low_fb
357,"st louis, louis, recommend boy, loved iwa, iwa wasn",2,low_fb
358,"steam, hall 2021, successful forest, turning premier, extension highly",2,low_fb
360,"st michael, michael, st constantly, michael largely, policies requirements",3,low_fb
361,"concordia, concordia lutheran, clueless case, concordia exceeds, btw right",4,low_fb
