feature,importance,std,direction,signed_importance,ci_low,ci_high
"topic_212 (imagine, gilbert, west gilbert)",0.002172459610176125,0.0002528215062169076,-1.0,-0.002172459610176125,-0.0023533172206307643,-0.001991601999721486
"topic_111 (south, southside, southwood)",0.002135924632886854,0.00026876908916936723,1.0,0.002135924632886854,0.0019436588088333512,0.0023281904569403566
"topic_42 (military, military family, military families)",0.0020137355231045983,0.00026804250950991084,-1.0,-0.0020137355231045983,-0.002205481583380958,-0.0018219894628282384
"topic_208 (yes yes, ok ok, yes)",0.0019892615768786646,0.00032849337377660744,-1.0,-0.0019892615768786646,-0.0022242515803811698,-0.0017542715733761594
"topic_61 (valley, valley view, view)",0.001800889855853427,0.0003721019570532018,-1.0,-0.001800889855853427,-0.0020670755605632115,-0.0015347041511436423
"topic_138 (nova, freedom, eisenhower)",0.0017962243130604238,0.00021609528462433137,1.0,0.0017962243130604238,0.0016416390588528925,0.0019508095672679552
"topic_76 (austin, texas, houston)",0.0017589376779989841,0.00018655056682061598,1.0,0.0017589376779989841,0.0016254874417078171,0.0018923879142901511
"topic_99 (lewis, clark, lewis school)",0.0017554660084292072,0.00018199559295225694,1.0,0.0017554660084292072,0.0016252742041513674,0.001885657812707047
"topic_218 (jersey, nj, new jersey)",0.0016790588755694503,0.0002722716494091079,1.0,0.0016790588755694503,0.0014842874708598088,0.0018738302802790918
"topic_5 (pta, pto, involved)",0.0016722124775375268,0.0001815512396212411,1.0,0.0016722124775375268,0.0015423385444837282,0.0018020864105913255
"topic_136 (homework, hours, night)",0.0015808271085165694,0.00015457014400267245,-1.0,-0.0015808271085165694,-0.0016913999284884932,-0.0014702542885446455
"topic_125 (mountain, mountain view, view)",0.0015677059261060221,0.0002525385994644229,-1.0,-0.0015677059261060221,-0.0017483611572615204,-0.001387050694950524
"topic_150 (ipads, ipad, technology)",0.0015659580326759293,0.0002997519429750152,-1.0,-0.0015659580326759293,-0.0017803876551665296,-0.0013515284101853291
"topic_75 (mrs, ms, teacher)",0.0015587015180739793,0.00012032812526501028,1.0,0.0015587015180739793,0.0014726239626810243,0.0016447790734669344
"topic_80 (academy, dms, academy great)",0.0015373301911159264,0.00012423195988303914,-1.0,-0.0015373301911159264,-0.001626200381562725,-0.0014484600006691279
"topic_54 (nyc, bronx, york)",0.0014598086105394037,0.00022154962617098968,-1.0,-0.0014598086105394037,-0.0016182956656399562,-0.0013013215554388512
"topic_211 (leadership, poor, administration)",0.0014577372728537207,0.00019501744412201875,-1.0,-0.0014577372728537207,-0.001597244348294602,-0.0013182301974128394
"topic_131 (sacred, sacred heart, heart)",0.001452754720591154,0.00022817106529539842,-1.0,-0.001452754720591154,-0.0016159784678969336,-0.0012895309732853743
"topic_101 (ridge, ridgeview, ridgeway)",0.0014099947420118109,0.0002884605715742959,-1.0,-0.0014099947420118109,-0.0016163470039928273,-0.0012036424800307944
"topic_115 (reading, read, grade)",0.0012579299947466538,0.00014772552911462508,-1.0,-0.0012579299947466538,-0.0013636064721895824,-0.0011522535173037252
"topic_47 (adhd, son adhd, son)",0.0010149384750302137,0.0001605920015676139,1.0,0.0010149384750302137,0.0009000578776623307,0.0011298190723980966
"topic_72 (la, el, los)",0.000888492822700282,0.0001914021892042958,1.0,0.000888492822700282,0.0007515719448317022,0.0010254137005688618
"topic_31 (bay, ocean, palm)",0.000859466302659806,0.00017184291077140687,1.0,0.000859466302659806,0.000736537289694342,0.00098239531562527
"topic_127 (georgia, atlanta, ga)",0.0008564810886700136,0.00012101114475832829,-1.0,-0.0008564810886700136,-0.0009430472467744384,-0.0007699149305655888
"topic_33 (que, la, escuela)",0.000853251202454941,0.00018321311668434716,-1.0,-0.000853251202454941,-0.0009843139707427363,-0.0007221884341671457
"topic_41 (mary, st mary, st)",0.0008292689271932274,0.00032549272663386184,-1.0,-0.0008292689271932274,-0.0010621123970397353,-0.0005964254573467196
"topic_77 (st john, john, st)",0.0007890233260089974,0.0002121972196302879,-1.0,-0.0007890233260089974,-0.0009408200725030484,-0.0006372265795149464
"topic_35 (creek, creek elementary, creekside)",0.0007717678310462994,0.00015176507259545652,-1.0,-0.0007717678310462994,-0.000880334023815281,-0.0006632016382773178
"topic_78 (park, parkview, parkside)",0.000767311431857809,0.00014891724326150486,-1.0,-0.000767311431857809,-0.000873840410245672,-0.0006607824534699459
"topic_205 (substitute, substitute teacher, sub)",0.0007567887405196983,0.00010245659462938833,-1.0,-0.0007567887405196983,-0.0008300817730518791,-0.0006834957079875175
"topic_167 (blue, ribbon, blue ribbon)",0.0006677967552408681,0.0001595326332975149,1.0,0.0006677967552408681,0.0005536739842809855,0.0007819195262007508
"topic_104 (river, riverview, rivers)",0.0006479637859145626,0.00012909359126270743,-1.0,-0.0006479637859145626,-0.0007403117779431764,-0.0005556157938859488
"topic_84 (stem, stem program, stem school)",0.0006120768198962012,6.773003139943991e-05,1.0,0.0006120768198962012,0.0005636256741918047,0.0006605279656005977
"topic_62 (hillside, hill, hills)",0.0005681967263967413,0.00017157230738619147,-1.0,-0.0005681967263967413,-0.0006909321613618077,-0.000445461291431675
