feature,importance,std,direction,signed_importance,ci_low,ci_high
"topic_79 (shs, shs great, love shs)",0.003415091325763675,0.0002807769997580121,1.0,0.003415091325763675,0.0032142355599440947,0.0036159470915832553
"topic_23 (south, south lake, high)",0.003394740397696827,0.0003555377363320059,1.0,0.003394740397696827,0.0031404040226722654,0.003649076772721389
"topic_16 (dress, code, dress code)",0.0033856959029163413,0.0002078008401497321,1.0,0.0033856959029163413,0.0032370441368450515,0.003534347668987631
"topic_29 (ghs, gchs, graduated)",0.003358892864182583,0.0005929533225226861,1.0,0.003358892864182583,0.0029347196099872483,0.003783066118377918
"topic_53 (east, eastside, east high)",0.002947807872998187,0.0004265083269038125,-1.0,-0.002947807872998187,-0.003252913550110362,-0.002642702195886012
"topic_39 (hhs, whs, students)",0.00282594102571202,0.00025474479784989563,1.0,0.00282594102571202,0.0026437075753054937,0.0030081744761185462
"topic_59 (klein, chapel hill, chapel)",0.002563988687375707,0.00024871224649179063,1.0,0.002563988687375707,0.00238607066424393,0.0027419067105074837
"topic_36 (bathrooms, bathroom, food)",0.002288848967747603,0.0001992957316986073,1.0,0.002288848967747603,0.002146281389743005,0.002431416545752201
"topic_82 (nhs, norwalk, student nhs)",0.0019558404096595484,0.0003607895577281164,1.0,0.0019558404096595484,0.0016977471079302614,0.0022139337113888354
"topic_65 (bay, bay high, bay view)",0.0018763346681293868,0.0002635872801966584,1.0,0.0018763346681293868,0.0016877756869100237,0.00206489364934875
"topic_81 (rotc, jrotc, jrotc program)",0.0017934983903118763,0.00020460571756174143,-1.0,-0.0017934983903118763,-0.0019398645033743677,-0.0016471322772493848
"topic_56 (vista, vegas, lago)",0.001687433013044215,0.00010234426708840877,1.0,0.001687433013044215,0.0016142203347942064,0.0017606456912942234
"topic_43 (coral, miami, coral park)",0.0016192407739667348,0.00015405082976456655,-1.0,-0.0016192407739667348,-0.0017294420989120516,-0.001509039449021418
"topic_22 (st, st francis, francis)",0.001560080508377304,0.00021348872717049324,-1.0,-0.001560080508377304,-0.0017128011437093768,-0.0014073598730452311
"topic_62 (valley, valley high, valley great)",0.0015073888705391502,0.00014896163069973246,-1.0,-0.0015073888705391502,-0.0016139496017874885,-0.001400828139290812
"topic_66 (phs, ph, students)",0.00137361917570894,0.00019600233437812973,1.0,0.00137361917570894,0.001233407552221709,0.001513830799196171
"topic_76 (la, que, escuela)",0.0009430428972656113,0.00017778687789834482,-1.0,-0.0009430428972656113,-0.001070223968164298,-0.0008158618263669245
"topic_68 (bishop, luers, dunne)",0.0008406743065607958,0.00034979735314845964,-1.0,-0.0008406743065607958,-0.0010909042588319886,-0.0005904443542896029
"topic_37 (creek, creek high, sandy)",0.0008227328900992092,0.0001020295995187179,-1.0,-0.0008227328900992092,-0.0008957204687301487,-0.0007497453114682698
"topic_54 (cchs, cca, hcs)",0.0006566633617008822,0.0001527585912929333,1.0,0.0006566633617008822,0.000547386448470432,0.0007659402749313324
"topic_74 (lake, lakeview, lakes)",0.0006542798356750423,9.614671875650453e-05,1.0,0.0006542798356750423,0.0005855006164244581,0.0007230590549256265
"topic_71 (lincoln, lincoln high, lhs)",0.0006411570515358455,0.0001847467264333162,1.0,0.0006411570515358455,0.0005089972049230342,0.0007733168981486568
"topic_49 (trinity, holy, holy trinity)",0.0005449857283291836,8.08804779469871e-05,-1.0,-0.0005449857283291836,-0.0006028441367881984,-0.0004871273198701688
"topic_77 (franklin, towne, elsie)",0.00029816880899100615,9.080922130875529e-05,1.0,0.00029816880899100615,0.00023320780540036454,0.00036312981258164776
"topic_61 (centennial, perry, hill murray)",7.920150905328382e-05,3.2727363919595177e-05,1.0,7.920150905328382e-05,5.578976325860779e-05,0.00010261325484795986
"topic_63 (jesuit, loyola, ignatius)",3.913666538362115e-05,2.9929369129269917e-05,-1.0,-3.913666538362115e-05,-6.0546846282118614e-05,-1.772648448512369e-05
"topic_69 (tc, alexandria, williams)",3.802343941433639e-05,2.2888516046841305e-05,-1.0,-3.802343941433639e-05,-5.439689743626926e-05,-2.1649981392403526e-05
"topic_84 (hamilton, tech center, tech)",3.619348162161584e-05,1.232030902673916e-05,1.0,3.619348162161584e-05,2.7380063475427502e-05,4.5006899767804184e-05
"topic_67 (madison, madison high, madison schools)",1.7788128042695028e-05,6.326670365936567e-06,-1.0,-1.7788128042695028e-05,-2.2313955380879526e-05,-1.3262300704510528e-05
"topic_80 (fcs, christian, fayetteville)",0.0,0.0,-1.0,-0.0,-0.0,0.0
